CCI Price Index-CCI 5500/CCI 5000/CCI 3800,,,,,,,,,,,,,,,,,,,,
Name,CCI 5500,CCI 5500,CCI 5500,CCI 5500,CCI 5000,CCI 5000,CCI 5000,CCI 5000,CCI 3800 Import,CCI 3800 Import,CCI 3800 Import,CCI 3800 Import,CCI 4700 Import,CCI 4700 Import,CCI 4700 Import,CCI 4700 Import,CCI Shanxi Low-sulphur,CCI Shanxi Low-sulphur,CCI Changzhi PCI,CCI Changzhi PCI
Coal Quality,"Qnar (Kcal/Kg):5500, Ad/%:18, Vdaf(Vad)/%:28, St,d/%:0.8, G:, Size/mm:, CSR:, Mt/%:10, M10/%:, M40/%:","Qnar (Kcal/Kg):5500, Ad/%:18, Vdaf(Vad)/%:28, St,d/%:0.8, G:, Size/mm:, CSR:, Mt/%:10, M10/%:, M40/%:","Qnar (Kcal/Kg):5500, Ad/%:18, Vdaf(Vad)/%:28, St,d/%:0.8, G:, Size/mm:, CSR:, Mt/%:10, M10/%:, M40/%:","Qnar (Kcal/Kg):5500, Ad/%:18, Vdaf(Vad)/%:28, St,d/%:0.8, G:, Size/mm:, CSR:, Mt/%:10, M10/%:, M40/%:","Qnar (Kcal/Kg):5000, Ad/%:18, Vdaf(Vad)/%:28, St,d/%:0.8, G:, Size/mm:, CSR:, Mt/%:10, M10/%:, M40/%:","Qnar (Kcal/Kg):5000, Ad/%:18, Vdaf(Vad)/%:28, St,d/%:0.8, G:, Size/mm:, CSR:, Mt/%:10, M10/%:, M40/%:","Qnar (Kcal/Kg):5000, Ad/%:18, Vdaf(Vad)/%:28, St,d/%:0.8, G:, Size/mm:, CSR:, Mt/%:10, M10/%:, M40/%:","Qnar (Kcal/Kg):5000, Ad/%:18, Vdaf(Vad)/%:28, St,d/%:0.8, G:, Size/mm:, CSR:, Mt/%:10, M10/%:, M40/%:","Qnar (Kcal/Kg):3800, Ad/%:7, Vdaf(Vad)/%:40, St,d/%:0.5, G:, Size/mm:, CSR:, Mt/%:35, M10/%:, M40/%:","Qnar (Kcal/Kg):3800, Ad/%:7, Vdaf(Vad)/%:40, St,d/%:0.5, G:, Size/mm:, CSR:, Mt/%:35, M10/%:, M40/%:","Qnar (Kcal/Kg):3800, Ad/%:7, Vdaf(Vad)/%:40, St,d/%:0.5, G:, Size/mm:, CSR:, Mt/%:35, M10/%:, M40/%:","Qnar (Kcal/Kg):3800, Ad/%:7, Vdaf(Vad)/%:40, St,d/%:0.5, G:, Size/mm:, CSR:, Mt/%:35, M10/%:, M40/%:","Qnar (Kcal/Kg):4700, Ad/%:10, Vdaf(Vad)/%:35, St,d/%:0.7, G:, Size/mm:, CSR:, Mt/%:26, M10/%:, M40/%:","Qnar (Kcal/Kg):4700, Ad/%:10, Vdaf(Vad)/%:35, St,d/%:0.7, G:, Size/mm:, CSR:, Mt/%:26, M10/%:, M40/%:","Qnar (Kcal/Kg):4700, Ad/%:10, Vdaf(Vad)/%:35, St,d/%:0.7, G:, Size/mm:, CSR:, Mt/%:26, M10/%:, M40/%:","Qnar (Kcal/Kg):4700, Ad/%:10, Vdaf(Vad)/%:35, St,d/%:0.7, G:, Size/mm:, CSR:, Mt/%:26, M10/%:, M40/%:","Qnar (Kcal/Kg):, Ad/%:10, Vdaf(Vad)/%:22, St,d/%:0.7, G:85, Size/mm:, CSR:65, Mt/%:8, M10/%:, M40/%:","Qnar (Kcal/Kg):, Ad/%:10, Vdaf(Vad)/%:22, St,d/%:0.7, G:85, Size/mm:, CSR:65, Mt/%:8, M10/%:, M40/%:","Qnar (Kcal/Kg):7000, Ad/%:11.5, Vdaf(Vad)/%:12, St,d/%:0.5, G:, Size/mm:, CSR:, Mt/%:8, M10/%:, M40/%:","Qnar (Kcal/Kg):7000, Ad/%:11.5, Vdaf(Vad)/%:12, St,d/%:0.5, G:, Size/mm:, CSR:, Mt/%:8, M10/%:, M40/%:"
Price Type,FOB with VAT,FOB with VAT,FOB with VAT,FOB with VAT,FOB with VAT,FOB with VAT,FOB with VAT,FOB with VAT,CFR,CFR,CFR,CFR,CFR,CFR,CFR,CFR,Ex-plant with VAT,Ex-plant with VAT,Ex-plant with VAT,Ex-plant with VAT
Frequency,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily
Quota,RMB,USD,RMB Chg,USD Chg,RMB,USD,RMB Chg,USD Chg,RMB,USD,RMB Chg,USD Chg,RMB,USD,RMB Chg,USD Chg,RMB,RMB Chg,RMB,RMB Chg
Unit,Yuan/t,US$/t,Yuan/t,US$/t,Yuan/t,US$/t,Yuan/t,US$/t,Yuan/t,US$/t,Yuan/t,US$/t,Yuan/t,US$/t,Yuan/t,US$/t,Yuan/t,Yuan/t,Yuan/t,Yuan/t
Source,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com,sxcoal.com
2025-07-04,621,86.85,1,0.14,553,77.34,1,0.14,395.12,48.7,0,0,511.14,63,0,0,1144,0,795,0
2025-07-03,620,86.71,0,0.12,552,77.2,0,0.11,395.12,48.7,-0.55,0,511.14,63,-0.72,0,1144,0,795,0
2025-07-02,620,86.59,0,-0.12,552,77.09,1,0.03,395.67,48.7,2.17,0.2,511.86,63,2.34,0.2,1144,0,795,0
2025-07-01,620,86.71,0,0,551,77.06,1,0.14,393.5,48.5,0,0,509.52,62.8,0,0,1144,0,795,0
